acce_count,agg_break_count,agg_takeoff_count,decel_count,distance_driven,driving_hours,fuel_consumption,high_speed_percentage,mean_acce,mean_decel,mean_fuel_efficiency,median_acce,median_decel,odo_end,speed_average,speed_average_pos,speed_max,speeding_count10,speeding_count20,speeding_count30,speeding_count40,speeding_count40_plus,turn_count,am_peak_hours,entropy,entropy_last_month,long_distance_count,night_driving_hours,percent_am_peak,percent_long_distance,percent_night_driving,percent_pm_peak,pm_peak_hours,tot_accidents
0.0,7.0,0.0,9.0,95.0,3.4875,3.871991850497893,0.0,0.3158701344342491,-0.3103175196648035,4.270618377087969,0.21701388800000032,-0.13563367999999798,33107.0,39.29328776198506,30.82742598439269,112.95,203.0,148.0,90.0,52.0,429.0,0.0,15.623888888888883,10.37883083265194,0.9497076391693384,12.0,3.3800000000000003,0.1733670540867987,0.09480952380952384,0.0369661785385944,0.007422340328049116,0.6511111111111111,0
0.0,2.0,0.0,2.0,95.0,3.9177777777777782,3.8100039797543688,0.0,0.3521641977933005,-0.3471735629775782,3.733171702009159,0.2712673599999995,-0.18988715200000075,4072.0,26.95608552631579,25.882001081292486,98.26875,280.0,209.0,110.0,68.0,186.0,0.0,7.437777777777778,8.736958231666419,1.144941138975321,3.0,8.028888888888886,0.09827645998057984,0.029411764705882363,0.10375403527073317,0.046610747503542514,4.095833333333333,0
0.0,8.0,0.0,8.0,151.5,4.933611111111111,5.7213342953029365,0.0,0.3584843348223541,-0.2849786474115551,3.799555714010857,0.2441406239999999,-0.13563367999999798,20177.0,37.55424037221229,31.086427310297516,106.3125,319.0,276.0,216.0,168.5,483.5,0.0,15.839722222222221,9.620380361961082,1.3189584900715627,10.0,10.397500000000004,0.13678772463944555,0.041814143458880314,0.09259938999824974,0.034213033697690506,2.4198611111111115,0
0.0,4.0,0.0,4.0,75.0,2.700833333333333,3.051855878746682,0.0,0.3775383139855079,-0.3660003048734106,4.458761010107604,0.2712673599999995,-0.21701388800000032,12428.0,33.76881944444445,30.29968541310227,97.0875,261.0,211.0,147.0,113.0,329.0,0.0,8.17138888888889,9.552492504931065,0.7327547167064237,3.0,1.9063888888888894,0.15607941309412052,0.02525252525252525,0.0412504357652037,0.00537944630771635,0.2486111111111111,0
0.0,2.0,0.0,2.5,71.0,2.966805555555556,2.296175721364119,0.0,0.381258503336516,-0.3224987701757216,3.443900147715957,0.2441406239999999,-0.16276041599999758,5866.0,29.322285294289852,25.725183911365644,99.815625,122.0,111.5,71.0,58.0,385.0,0.0,10.393055555555557,9.701262458877553,1.079279619761467,2.0,7.570972222222222,0.1399528603868639,0.00978454415954416,0.0935839885047621,0.05332179433472183,3.789861111111111,0
0.0,1.0,0.0,1.0,17.5,1.170972222222222,0.3963409265407608,0.0,0.3270833866494337,-0.316313543889,2.259206333146353,0.2441406239999999,-0.21701388800000032,2292.5,17.283981726728392,17.213207067890743,58.55625,0.0,0.0,0.0,0.0,0.0,0.0,3.359583333333333,7.0266579552571145,0.46875,0.0,0.3566666666666667,0.2513073841802068,0.0,0.012734423685532958,0.0,0.0,0
1.0,3.0,0.0,3.0,83.0,2.8430555555555554,2.421232041564036,0.0,0.4210262548710037,-0.3787970354597677,3.500233730616201,0.2983940959999991,-0.21701388800000032,578.0,28.223663846471318,23.773974962673712,97.70625,178.0,133.0,81.0,69.0,400.0,0.0,1.863055555555556,6.5813597135246695,0.78125,0.0,0.3538888888888889,0.08374384236453201,0.0,0.00909889513416228,0.014991034954435387,0.2033333333333333,0
0.0,1.0,0.0,1.0,29.0,1.5572222222222225,0.9216518787705992,0.0,0.33984991309971,-0.3333079557500464,3.106506791868937,0.2441406239999999,-0.18988715200000075,7412.5,20.85200830112125,18.59469856226059,75.2625,75.0,49.5,30.0,20.0,40.0,0.0,6.9813888888888895,8.104569467752619,0.6392511368241129,2.0,0.5963888888888889,0.15113071277597126,0.013157894736842105,0.035485307810488406,0.014933996709822954,0.4872222222222222,0
0.0,1.0,0.0,1.0,55.0,2.1558333333333337,2.3720689056094653,0.0,0.3516601691232969,-0.336150212407731,3.9940945688708096,0.2441406239999999,-0.21701388800000032,11533.5,30.897135479924284,27.720855241527797,100.74375,152.5,153.0,114.0,79.0,179.0,0.0,8.42611111111111,8.944670490365837,0.5985250401470988,3.0,0.0,0.1806090836236468,0.02610098235098235,0.0,0.016280124248884788,1.2980555555555555,0
0.0,2.0,0.0,2.0,97.0,2.387083333333333,3.9543557272801912,0.0,0.3794457292629647,-0.3431397526132318,4.580750691790958,0.2712673600000031,-0.20345052000000047,3893.0,36.88406550848725,30.9713638400379,102.6,60.0,47.5,27.5,15.5,1002.0,0.0,2.7394444444444446,7.500604864136213,0.6392511368241129,3.0,0.0,0.11266755792582857,0.06849386724386725,0.0,0.0024394878791624396,0.061666666666666675,0
0.0,6.0,0.0,6.0,45.0,1.7416666666666667,1.7013192122520568,0.0,0.4537138221805656,-0.4694640852806318,3.980558035204673,0.35264756800000185,-0.2441406239999999,7001.0,28.890376066856337,26.88297996954433,94.33125,185.0,150.0,89.0,44.0,51.0,0.0,6.982499999999999,9.197087897991103,1.3085041588289383,0.0,3.1108333333333333,0.1514371038835711,0.0,0.07382786554869912,0.008125370050767815,0.3583333333333333,0
